"Time","ICE","Coolant","Cat","HC'","CO'","NOx'","HC","CO","NOx"
"0","25.0","25.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","26.35957330615281","25.0","25.550563169524196","0.0001543372798967592","0.0030219280852369136","0.022124830623834267","0.0","0.0","0.0"
"2","27.665335035034786","25.039352116425107","26.10076324491041","0.0001543372798967592","0.0030219280852369136","0.02332804378860696","3.429717331039093e-05","0.0006210508647576114","0.004546979545501233"
"3","28.921164159375337","25.11529756222086","26.650600944477333","0.0001543372798967592","0.0030219280852369136","0.02448363407207091","6.0972752551806094e-05","0.001103871474458264","0.008329145195122485"
"4","30.856178459576938","25.22527943185878","27.49485704653972","0.0012624854086434073","0.024719498206352844","0.033199370325824776","8.1720425295129e-05","0.0014792011438151753","0.011506693407505781"
"5","34.039212613932705","25.387803363479577","28.95060616594236","0.0036480205268623177","0.0944709784386045","0.03149175425648852","0.0003441126438169686","0.006226801468432493","0.015765105625307915"
"6","38.70816434710963","25.637008257355888","31.09198233426457","0.00607097657858315","0.21330179523140994","0.022550187500926813","0.001078314395604824","0.02423191358336684","0.01871939996171877"
"7","44.98179843354677","26.0124171916965","33.48978547217985","0.008139271061381596","0.38942201260261755","0.013230722243496787","0.0021877948807111185","0.06258159440903574","0.019173422541552344"
"8","52.23326208076156","26.555066293977802","36.01136502892791","0.01057913709145973","0.597947578058987","0.007909449331310579","0.0035103451430823357","0.1284353836579428","0.01761107601218691"
"9","60.8424714019132","27.28625313167521","38.767467959312285","0.008741736899760377","0.879478803815231","0.0036772795334923916","0.0050811877982773115","0.22222686382154674","0.01530439861478286"
"10","70.46406039048003","28.236525054421122","41.70547709594126","0.009432149696091241","1.2040027687544221","0.0016391532078850956","0.005894643154162437","0.3525556170050374","0.012643686786361883"
"11","81.04684937256104","29.424986452710016","44.832181466579584","0.011236593558647463","1.5877031063439957","0.0006305893484880659","0.006680755719035505","0.5199177327726591","0.010158423742834165"
"12","92.70971239783074","30.867931816201633","48.178589214254146","0.013969437835381363","2.0503210338910036","0.0001872191904857279","0.0076931641278381625","0.727950845619358","0.00802073473293224"
"13","105.50519233159952","32.5834600939379","51.760017889903736","0.016508847382718985","2.597157305744213","4.1181869340289105e-05","0.009087891618403319","0.9834309241833293","0.006268934682946193"
"14","119.25335465127108","34.58942329934206","55.56316058250252","0.019005459042661682","3.20696621924557","6.950487781469292e-06","0.010736992899362356","1.2926071986111436","0.004877875832346446"
"15","133.84936504568918","36.897276948318506","59.587538577538965","0.021122245896870426","3.885419073147206","8.167643561676842e-07","0.01257442982009554","1.655919239540428","0.0037900662205182134"
"16","149.36439750438433","39.51441754981789","63.85065634155188","0.02451406336036819","4.666266779231733","5.298877471993905e-08","0.014473944503823291","2.0747634628153664","0.002943672452576544"
"17","165.92204566597877","42.44880264491553","68.37509123004241","0.02619984078089734","5.572379008986574","1.2584338296750738e-09","0.016705082027499936","2.5569429128146797","0.002285972065909594"
